n,area_n,area_w,disp_n,disp_w
100,0.91250,0.68055,0.03390,0.27947
600,0.96250,0.95601,0.01904,0.01217
1100,0.95114,0.91918,0.00701,0.02682
1600,0.93984,0.96006,0.00495,0.01646
2100,0.96012,0.89814,0.01652,0.04910
2600,0.95288,0.96100,0.00886,0.01745
3100,0.94597,0.89381,0.00154,0.05369
3600,0.95313,0.93170,0.00911,0.01357
4100,0.93140,1.00778,0.01389,0.06698
4600,0.95380,0.94262,0.00983,0.00200
5100,0.93897,0.97793,0.00587,0.03538
5600,0.94509,0.96180,0.00061,0.01829
6100,0.94303,1.02481,0.00157,0.08501
6600,0.93693,0.98105,0.00803,0.03868
7100,0.95440,0.97495,0.01046,0.03222
7600,0.93947,0.99012,0.00534,0.04828
8100,0.94167,0.90260,0.00302,0.04438
8600,0.95145,0.89421,0.00734,0.05326
9100,0.94162,0.95085,0.00307,0.00670
9600,0.94427,0.92158,0.00026,0.02429
10100,0.94146,0.93275,0.00324,0.01246
10600,0.94021,0.93461,0.00456,0.01049
11100,0.94538,1.01075,0.00092,0.07013
11600,0.94213,0.93534,0.00252,0.00972
12100,0.95393,0.93927,0.00996,0.00555
12600,0.93958,0.97607,0.00522,0.03341
13100,0.94380,0.97518,0.00076,0.03247
13600,0.93860,0.92575,0.00626,0.01987
14100,0.94051,0.93498,0.00424,0.01010
14600,0.94914,0.92760,0.00490,0.01791
15100,0.93220,0.96578,0.01304,0.02251
15600,0.94704,0.96287,0.00267,0.01943
16100,0.93773,0.92994,0.00718,0.01543
16600,0.94375,0.99681,0.00081,0.05537
17100,0.95270,0.93298,0.00867,0.01221
17600,0.95007,0.97056,0.00588,0.02757
18100,0.94323,0.91850,0.00136,0.02755
18600,0.94200,0.92517,0.00266,0.02048
19100,0.95046,0.94676,0.00629,0.00238
19600,0.94841,0.95088,0.00412,0.00674
20100,0.94471,0.94803,0.00021,0.00372
20600,0.94484,0.97127,0.00034,0.02832
21100,0.94573,0.95240,0.00129,0.00835
21600,0.94213,0.93305,0.00253,0.01214
22100,0.94372,0.92646,0.00084,0.01912
22600,0.94685,0.91328,0.00247,0.03307
23100,0.94091,0.96169,0.00382,0.01818
23600,0.94698,0.96150,0.00261,0.01798
