Size,Merge,Combine_Th5,Combine_Th10,Combine_Th20,Combine_Th30,Combine_Th50
500,1,0,0,0,0,0
600,1,0,0,0,0,0
700,1,0,0,0,0,0
800,1,0,0,0,0,0
900,1,0,0,0,0,0
1000,1,0,0,0,0,0
1100,1,0,0,0,0,0
1200,1,0,0,0,0,0
1300,2,0,0,0,0,0
1400,2,1,0,0,0,0
1500,2,1,0,0,0,0
1600,2,1,0,0,0,0
1700,3,1,0,0,0,0
1800,2,1,1,0,0,1
1900,3,2,1,1,0,0
2000,4,1,1,1,0,0
2100,5,1,1,0,0,0
2200,3,1,1,0,0,0
2300,5,2,1,1,0,0
2400,5,1,1,0,0,0
2500,4,1,1,0,0,0
2600,5,2,1,0,0,0
2700,5,2,2,1,1,0
2800,5,3,2,1,1,0
2900,4,2,1,1,1,1
3000,4,2,1,1,1,0
3100,7,2,1,1,1,1
3200,7,4,2,1,1,1
3300,7,2,1,1,1,1
3400,9,2,1,2,1,1
3500,6,4,2,1,1,1
3600,7,3,3,1,1,1
3700,7,2,2,1,1,1
3800,6,3,2,1,1,1
3900,6,2,2,1,1,2
4000,8,3,2,1,1,1
4100,7,3,2,1,2,1
4200,7,2,2,1,1,1
4300,7,2,2,1,1,1
4400,7,2,2,1,1,1
4500,7,2,2,1,1,1
4600,7,2,2,1,1,1
4700,7,2,2,1,1,1
4800,8,2,2,1,1,1
4900,8,3,2,1,1,1
5000,8,3,2,1,1,1
5100,8,3,2,1,1,1
5200,8,3,2,2,1,1
5300,8,3,2,2,1,1
5400,9,3,2,2,1,1
5500,8,3,3,2,1,1
5600,9,3,3,2,1,1
5700,9,3,3,2,1,1
5800,9,4,3,2,2,1
5900,9,4,3,2,1,1
6000,9,4,3,2,2,1
6100,10,4,3,2,2,1
6200,10,4,3,2,2,1
6300,10,4,3,2,2,1
6400,10,4,3,2,2,1
6500,10,4,3,2,2,2
6600,15,5,4,2,2,2
6700,12,5,3,2,2,2
6800,11,5,3,2,2,2
6900,11,5,3,2,2,2
7000,11,5,3,2,2,2
7100,11,5,3,2,2,2
7200,11,5,3,2,2,2
7300,11,5,3,2,2,2
7400,12,5,3,2,2,2
7500,12,5,3,3,2,2
7600,12,6,4,3,2,2
7700,12,5,3,3,2,2
7800,12,5,4,3,2,2
7900,13,5,3,3,3,2
8000,13,5,4,3,3,2
8100,13,5,4,3,3,2
8200,13,5,4,3,3,2
8300,13,5,4,3,3,2
8400,14,5,4,3,3,2
8500,14,5,4,3,4,2
8600,16,5,4,3,3,2
8700,14,5,4,3,3,2
8800,14,5,4,3,3,2
8900,14,5,4,3,3,2
9000,14,5,4,3,3,2
9100,14,6,4,3,3,3
9200,15,5,4,3,3,3
9300,15,5,4,3,3,3
9400,15,6,4,3,3,3
9500,15,6,4,3,3,3
9600,16,6,4,3,3,3
9700,15,6,4,3,3,3
9800,16,6,4,3,3,3
9900,16,6,4,3,3,3
10000,17,6,5,3,3,3
10100,17,6,4,3,3,3
10200,17,6,4,3,3,3
10300,17,6,4,4,4,3
10400,17,6,5,4,4,3
10500,17,6,5,4,4,3
10600,17,6,5,4,4,3
10700,17,7,5,4,4,3
10800,18,7,6,5,4,3
10900,18,7,6,5,4,3
11000,18,7,6,5,4,3
11100,18,8,6,5,4,3
11200,18,8,6,5,4,3
11300,18,8,6,5,4,3
11400,19,8,6,5,4,3
11500,19,8,6,5,4,3
11600,19,8,6,5,4,3
11700,19,9,7,5,4,3
11800,19,9,7,5,4,3
11900,19,9,7,5,4,3
12000,19,9,6,5,4,3
12100,20,9,6,5,4,3
12200,20,9,7,5,4,3
12300,20,10,7,5,4,3
12400,20,10,7,5,4,4
12500,20,10,7,5,4,4
12600,23,10,7,5,4,4
12700,21,10,7,5,4,4
12800,21,10,7,5,4,4
12900,21,10,7,5,4,4
13000,21,10,7,5,4,4
13100,21,10,7,6,4,5
13200,22,10,7,5,4,4
13300,22,10,7,5,4,4
13400,23,10,7,6,5,5
13500,22,10,7,5,4,4
13600,22,10,7,6,4,5
13700,22,10,7,5,5,5
13800,23,10,7,6,5,5
13900,23,10,7,6,5,5
14000,23,10,7,6,5,5
14100,23,10,7,6,5,5
14200,25,10,7,6,5,5
14300,23,10,7,6,5,5
14400,24,13,7,6,5,5
14500,24,10,7,6,5,5
14600,24,10,8,6,5,5
14700,24,10,7,6,5,5
14800,24,11,8,6,5,5
14900,24,11,8,6,5,5
15000,25,11,8,6,5,5
15100,25,11,8,6,5,5
15200,25,11,8,6,5,5
15300,25,11,8,6,5,5
15400,25,11,8,6,5,5
15500,26,11,8,6,5,5
15600,26,11,8,6,8,5
15700,26,11,8,6,6,5
15800,26,11,8,6,7,5
15900,26,11,8,6,6,5
16000,26,11,8,6,6,5
16100,26,11,8,6,6,5
16200,27,11,8,6,6,5
16300,28,11,8,6,6,5
16400,27,11,8,6,6,5
16500,27,12,8,6,6,5
16600,27,12,8,7,7,6
16700,28,11,8,7,7,6
16800,28,11,8,7,7,6
16900,28,12,8,7,7,6
17000,32,12,9,7,7,6
17100,28,11,8,7,7,6
17200,28,11,8,7,7,6
17300,29,11,8,7,7,6
17400,29,12,8,7,7,6
17500,33,12,9,7,7,6
17600,29,12,9,7,11,6
17700,29,12,9,7,7,6
17800,29,12,9,7,7,7
17900,30,12,9,7,7,6
18000,30,12,9,7,7,6
18100,30,12,9,7,7,6
18200,30,12,9,7,7,6
18300,31,12,9,7,7,6
18400,31,12,9,7,7,6
18500,31,13,9,7,7,7
18600,31,12,9,7,7,6
18700,31,12,9,7,7,6
18800,31,12,9,7,7,6
18900,31,12,9,7,7,6
19000,31,12,9,7,7,6
19100,32,12,9,7,7,6
19200,32,12,9,7,7,6
19300,32,12,9,7,7,6
19400,32,12,9,8,8,6
19500,33,12,9,8,8,6
19600,33,12,9,8,8,7
19700,33,12,9,8,8,7
19800,33,13,10,8,8,7
19900,33,13,9,8,8,7
20000,33,13,9,8,8,7
20100,33,13,10,8,8,7
20200,34,13,10,8,8,7
20300,34,13,10,8,8,7
20400,34,13,10,8,8,7
20500,34,13,10,8,8,7
20600,34,13,10,8,8,7
20700,34,13,10,8,8,7
20800,34,13,10,9,8,7
20900,35,14,11,9,8,7
21000,35,14,11,9,8,7
21100,35,14,11,9,8,7
21200,35,14,11,10,8,7
21300,35,17,11,10,8,7
21400,35,14,11,10,8,7
21500,36,15,12,10,8,7
21600,36,15,12,10,8,7
21700,36,15,12,10,8,7
21800,36,15,12,10,8,7
21900,36,15,12,10,8,7
22000,37,16,13,10,8,7
22100,37,16,13,10,8,7
22200,37,16,13,10,9,7
22300,37,16,13,10,9,7
22400,37,16,13,10,9,7
22500,37,17,14,10,9,7
22600,38,17,14,10,9,8
22700,38,17,14,11,9,8
22800,38,17,14,11,9,8
22900,38,17,14,11,9,8
23000,38,17,14,11,9,8
23100,38,18,14,11,9,8
23200,39,18,14,11,9,8
23300,39,18,14,11,9,8
23400,39,18,14,11,9,8
23500,39,18,14,11,9,8
23600,39,18,14,11,9,8
23700,40,19,14,11,9,8
23800,40,19,14,11,9,8
23900,40,19,14,11,9,8
24000,40,19,14,11,9,8
24100,40,19,14,11,9,8
24200,40,20,14,11,9,8
24300,41,20,14,11,9,8
24400,41,20,14,11,9,8
24500,41,20,14,11,9,8
24600,41,20,14,11,9,8
24700,41,20,15,11,9,8
24800,41,20,15,11,9,8
24900,42,20,15,11,9,8
25000,42,20,15,11,10,8
25100,42,20,15,11,10,8
25200,42,20,15,11,10,8
25300,42,21,15,11,10,8
25400,42,21,15,12,10,9
25500,43,21,15,12,10,9
25600,43,21,15,12,10,9
25700,43,21,15,12,10,9
25800,43,21,15,12,10,9
25900,43,21,15,12,10,9
26000,43,21,15,12,10,10
26100,44,21,15,12,10,10
26200,44,21,15,12,10,10
26300,44,21,15,12,10,10
26400,44,21,15,12,10,10
26500,44,21,15,12,10,10
26600,45,21,15,12,10,10
26700,45,21,16,12,10,10
26800,46,21,16,12,10,10
26900,45,22,15,12,10,10
27000,45,21,15,12,10,10
27100,45,21,15,12,10,10
27200,46,21,15,12,10,10
27300,46,21,16,12,10,10
27400,46,21,16,12,10,10
27500,46,22,16,12,10,10
27600,46,21,16,12,10,10
27700,46,22,16,12,10,10
27800,47,22,16,12,11,11
27900,47,22,16,12,11,11
28000,47,22,16,13,11,11
28100,47,22,16,13,11,11
28200,47,22,16,13,11,11
28300,48,22,16,13,11,11
28400,48,22,16,13,11,11
28500,48,22,16,13,11,11
28600,48,22,16,13,11,11
28700,48,22,16,13,11,11
28800,48,22,16,13,11,11
28900,49,22,16,13,11,11
29000,49,22,16,13,11,11
29100,49,22,16,13,11,11
29200,49,22,16,13,11,11
29300,50,22,16,13,11,11
29400,50,22,16,13,11,11
29500,50,22,16,13,11,11
29600,50,22,16,13,11,11
29700,50,22,16,13,11,11
29800,50,23,17,13,11,12
29900,50,23,17,13,11,12
30000,51,23,17,13,11,12
30100,51,23,17,13,11,11
30200,51,23,17,13,11,12
30300,51,23,17,13,11,11
30400,52,23,17,13,11,11
30500,51,24,17,14,12,12
30600,52,23,17,14,12,11
30700,52,23,17,14,12,12
30800,52,23,17,14,12,12
30900,53,23,17,14,12,12
31000,52,25,17,14,12,12
31100,52,23,17,14,13,12
31200,53,23,17,14,13,12
31300,53,23,17,14,13,12
31400,53,23,17,14,13,12
31500,53,23,17,14,13,12
31600,54,23,17,14,14,12
31700,53,23,17,14,14,12
31800,54,23,17,14,14,12
31900,54,23,17,14,14,12
32000,54,23,17,14,14,12
32100,54,23,18,14,14,12
32200,54,23,17,14,14,12
32300,54,23,17,14,14,12
32400,55,24,18,14,14,12
32500,55,24,18,14,14,12
