Size,Merge,Combine_Th5,Combine_Th10,Combine_Th20,Combine_Th30,Combine_Th50
500,1,0,0,0,0,0
600,1,0,0,0,0,0
700,1,0,0,0,0,0
800,1,0,0,0,0,0
900,1,0,0,0,0,0
1000,1,0,0,0,0,0
1100,1,0,0,0,0,0
1200,1,0,0,0,0,0
1300,2,0,0,0,0,0
1400,2,1,0,0,0,0
1500,2,1,0,0,0,0
1600,2,1,0,0,0,0
1700,3,2,1,0,0,0
1800,4,1,1,1,1,1
1900,3,1,1,1,1,1
2000,5,1,2,1,1,0
2100,4,1,1,1,0,0
2200,4,1,1,1,0,0
2300,3,2,1,1,1,1
2400,5,2,1,1,1,1
2500,4,1,1,1,1,1
2600,4,1,1,1,1,1
2700,6,2,2,1,1,1
2800,5,2,2,1,1,1
2900,5,2,1,1,1,2
3000,6,2,1,1,2,1
3100,6,4,2,1,1,2
3200,6,3,3,2,2,2
3300,6,2,2,2,1,1
3400,8,3,2,2,1,1
3500,9,3,2,1,1,1
3600,7,3,3,2,1,1
3700,7,3,2,2,1,1
3800,7,3,2,2,1,1
3900,8,2,2,1,1,1
4000,10,3,2,2,2,2
4100,7,3,2,2,2,2
4200,7,3,2,2,2,1
4300,7,3,2,2,2,2
4400,7,3,2,2,2,2
4500,7,3,2,2,2,2
4600,8,3,2,2,2,2
4700,8,3,2,2,2,2
4800,8,3,2,2,2,2
4900,8,3,2,2,2,2
5000,8,3,2,2,2,2
5100,8,3,2,2,2,2
5200,8,3,2,2,3,2
5300,9,3,3,2,2,2
5400,9,4,3,3,2,2
5500,9,4,3,2,2,2
5600,9,4,3,2,2,2
5700,9,4,3,2,2,2
5800,9,4,3,3,2,2
5900,10,4,3,2,2,2
6000,10,5,3,3,2,2
6100,10,5,3,3,2,3
6200,10,5,3,3,2,3
6300,10,5,3,3,2,3
6400,10,5,3,3,2,3
6500,11,5,4,3,3,3
6600,14,8,4,3,3,3
6700,11,5,4,3,3,3
6800,11,5,4,3,3,3
6900,11,5,4,3,3,3
7000,11,5,4,3,3,3
7100,12,5,4,3,3,3
7200,12,5,4,3,3,3
7300,12,5,4,3,3,3
7400,12,6,4,3,3,3
7500,13,6,4,3,3,3
7600,12,7,5,4,3,3
7700,13,6,4,3,3,3
7800,13,6,4,3,3,3
7900,13,6,4,3,3,3
8000,13,6,4,4,4,4
8100,14,6,4,4,4,3
8200,13,6,4,4,4,3
8300,14,6,4,4,4,4
8400,14,6,4,4,4,4
8500,14,6,4,4,4,5
8600,15,6,5,4,4,4
8700,15,6,5,4,4,4
8800,15,6,5,4,4,4
8900,15,6,5,4,4,4
9000,15,6,5,4,4,4
9100,15,6,6,4,4,4
9200,16,6,5,4,4,4
9300,16,6,5,4,4,4
9400,16,6,5,4,4,4
9500,16,6,5,5,4,4
9600,16,6,5,4,4,4
9700,16,7,5,4,4,4
9800,16,6,5,4,4,4
9900,17,7,5,5,5,5
10000,17,7,5,5,5,5
10100,17,7,5,5,5,5
10200,17,7,5,5,5,5
10300,17,7,5,5,5,5
10400,19,7,6,5,5,5
10500,18,7,6,5,5,5
10600,18,7,6,5,5,5
10700,18,8,6,5,5,5
10800,18,8,6,6,5,5
10900,18,8,6,6,5,5
11000,19,8,7,6,5,5
11100,19,8,7,6,5,5
11200,19,9,7,6,5,5
11300,19,9,7,6,5,5
11400,19,9,7,6,5,5
11500,19,9,7,6,5,5
11600,20,9,7,6,5,6
11700,20,10,8,6,5,6
11800,20,11,8,6,5,6
11900,20,10,7,6,5,6
12000,20,10,7,6,5,6
12100,21,10,8,6,6,6
12200,21,11,8,6,6,6
12300,21,10,8,6,6,6
12400,21,10,8,6,6,6
12500,21,11,8,6,6,6
12600,23,11,8,6,6,6
12700,22,11,8,6,6,6
12800,22,11,8,6,6,6
12900,22,11,8,7,6,6
13000,22,11,8,7,6,6
13100,22,16,10,7,7,6
13200,23,11,8,7,6,6
13300,23,11,8,7,6,6
13400,23,12,8,7,6,6
13500,23,11,8,7,6,6
13600,23,11,8,7,6,6
13700,29,11,8,7,7,6
13800,23,11,8,7,6,7
13900,24,11,8,7,7,7
14000,24,11,8,7,7,7
14100,24,11,8,7,7,7
14200,24,12,9,7,7,7
14300,24,12,9,7,7,7
14400,25,12,9,7,7,7
14500,25,12,9,7,7,7
14600,25,12,9,7,7,7
14700,25,12,9,7,7,7
14800,25,12,9,7,7,7
14900,25,12,9,7,7,7
15000,26,12,9,8,7,7
15100,26,12,9,8,7,7
15200,26,12,9,8,7,7
15300,26,12,9,8,7,7
15400,26,12,9,8,7,7
15500,27,12,9,8,8,7
15600,27,12,9,8,8,9
15700,29,12,9,8,8,8
15800,27,12,9,8,8,8
15900,27,12,9,8,8,8
16000,27,12,9,8,8,8
16100,28,12,9,8,8,8
16200,28,12,9,8,8,8
16300,28,13,10,8,8,8
16400,28,12,10,8,8,8
16500,28,13,10,8,8,8
16600,29,13,10,8,9,8
16700,29,13,10,9,8,8
16800,29,13,10,8,8,9
16900,29,13,10,8,8,8
17000,29,13,11,9,9,8
17100,29,13,10,9,9,9
17200,30,13,10,9,9,8
17300,30,13,10,9,9,9
17400,30,13,10,9,9,9
17500,30,20,10,9,9,9
17600,30,13,10,9,9,9
17700,31,13,10,9,9,9
17800,31,13,10,9,9,9
17900,31,13,10,9,9,9
18000,31,13,10,9,9,9
18100,31,13,10,9,9,9
18200,31,13,11,9,9,10
18300,32,13,11,9,9,9
18400,32,14,11,9,9,9
18500,32,14,11,10,9,9
18600,32,14,11,9,9,9
18700,32,14,11,9,9,9
18800,32,14,11,10,9,9
18900,33,14,11,10,10,9
19000,33,14,11,10,10,10
19100,33,14,11,10,10,10
19200,33,14,11,10,10,10
19300,33,14,11,10,10,10
19400,34,14,11,10,10,10
19500,34,14,11,10,10,10
19600,34,14,11,10,10,10
19700,34,14,11,10,10,10
19800,34,14,11,10,10,10
19900,34,14,12,10,10,10
20000,35,14,11,10,10,10
20100,35,14,12,10,10,10
20200,35,14,12,10,10,10
20300,35,14,12,10,10,10
20400,35,15,12,10,10,10
20500,35,15,12,10,10,11
20600,36,15,12,11,10,11
20700,36,15,12,11,11,11
20800,36,15,12,11,11,11
20900,36,15,13,11,11,11
21000,36,16,13,11,11,11
21100,37,16,13,11,11,11
21200,37,16,13,12,11,11
21300,37,16,13,12,11,11
21400,37,16,13,12,11,11
21500,37,16,14,12,11,11
21600,38,17,14,12,11,11
21700,38,17,14,12,11,11
21800,38,17,14,12,11,11
21900,38,17,14,12,11,11
22000,38,17,15,12,11,12
22100,38,18,15,13,11,12
22200,39,18,15,13,11,12
22300,39,18,15,13,11,12
22400,39,18,15,13,12,12
22500,39,18,16,13,11,12
22600,39,19,16,13,12,12
22700,39,19,16,13,12,12
22800,40,19,16,13,12,12
22900,40,19,16,13,12,12
23000,40,19,16,13,12,12
23100,40,19,16,13,12,12
23200,40,20,16,13,12,12
23300,41,20,16,13,12,12
23400,41,20,16,13,12,13
23500,41,20,16,13,12,13
23600,41,20,16,13,12,13
23700,41,21,16,13,12,13
23800,41,21,16,13,12,13
23900,42,21,16,13,12,13
24000,42,21,16,13,12,13
24100,42,21,16,14,12,13
24200,42,21,16,14,12,13
24300,42,22,17,14,12,13
24400,42,22,17,14,13,13
24500,43,22,17,14,13,13
24600,43,22,17,14,13,13
24700,43,22,17,14,13,13
24800,43,22,17,14,13,14
24900,44,22,17,14,13,14
25000,44,22,17,14,13,14
25100,44,23,17,14,13,14
25200,44,23,17,14,13,14
25300,44,23,17,14,13,14
25400,44,23,17,14,13,14
25500,45,23,23,14,13,14
25600,45,23,17,14,13,14
25700,45,23,17,14,13,14
25800,45,23,17,14,13,14
25900,45,23,17,14,13,14
26000,45,23,17,14,14,14
26100,46,23,17,15,14,14
26200,46,23,20,15,14,14
26300,46,23,17,15,14,14
26400,46,23,18,15,14,14
26500,46,23,18,15,14,14
26600,50,23,18,15,14,14
26700,47,23,18,15,14,14
26800,47,24,18,15,15,14
26900,47,24,18,15,14,14
27000,48,24,18,15,17,14
27100,47,24,18,15,14,14
27200,48,24,18,15,14,14
27300,48,24,18,15,14,14
27400,48,24,18,15,14,14
27500,48,24,18,15,14,14
27600,49,24,18,15,14,14
27700,49,24,19,16,14,14
27800,49,27,18,15,15,15
27900,49,24,18,15,15,15
28000,49,24,18,15,15,15
28100,49,24,18,16,15,15
28200,49,24,19,16,15,15
28300,50,24,19,16,15,15
28400,50,24,19,16,15,15
28500,50,24,19,16,15,15
28600,50,24,19,16,15,15
28700,50,24,19,16,15,15
28800,51,25,19,16,15,15
28900,51,25,19,16,15,15
29000,51,25,19,16,15,15
29100,51,25,19,16,15,15
29200,51,25,19,16,15,15
29300,51,25,19,16,15,15
29400,52,25,19,16,16,15
29500,52,25,19,16,16,16
29600,52,25,19,16,16,16
29700,52,25,19,16,16,16
29800,53,25,20,17,16,16
29900,53,25,20,17,16,16
30000,53,25,20,17,16,16
30100,54,25,20,17,16,16
30200,54,25,20,17,16,16
30300,54,25,20,17,16,16
30400,54,25,20,17,16,16
30500,55,25,20,17,16,16
30600,55,26,20,17,17,16
30700,55,26,20,17,16,16
30800,55,26,20,17,16,16
30900,55,27,20,17,17,16
31000,55,26,21,17,17,16
31100,55,26,20,17,17,17
31200,55,26,20,17,17,17
31300,55,26,20,17,17,17
31400,55,26,20,17,17,17
31500,56,26,20,17,17,17
31600,56,26,20,17,17,17
31700,56,26,20,18,18,17
31800,56,26,20,18,18,17
31900,56,26,20,18,18,17
32000,57,26,20,18,18,17
32100,57,26,21,18,18,17
32200,57,26,21,18,18,17
32300,57,26,21,18,18,17
32400,57,26,21,18,18,17
32500,57,26,21,18,18,17
