Size,Merge,Combine_Th5,Combine_Th10,Combine_Th20,Combine_Th30,Combine_Th50
500,1,0,0,0,0,0
600,1,0,0,0,0,0
700,1,0,0,0,0,0
800,1,0,0,0,0,0
900,1,0,0,0,0,0
1000,1,0,0,0,0,0
1100,2,0,0,0,0,0
1200,1,0,0,0,0,0
1300,2,0,0,0,0,0
1400,2,3,0,0,0,0
1500,2,1,0,0,0,0
1600,2,1,0,0,0,0
1700,3,1,0,0,0,0
1800,4,1,0,0,1,1
1900,3,1,1,1,2,1
2000,4,1,1,1,1,0
2100,5,1,0,1,0,0
2200,3,1,1,0,0,0
2300,3,1,1,1,1,1
2400,4,1,1,0,0,1
2500,4,1,1,0,0,1
2600,5,1,1,1,0,1
2700,6,2,1,1,1,1
2800,6,3,1,1,1,1
2900,5,2,1,1,1,2
3000,4,2,1,1,1,1
3100,7,2,1,1,1,2
3200,5,2,2,1,1,2
3300,7,2,1,1,1,1
3400,8,2,1,1,1,1
3500,8,3,1,1,1,1
3600,6,3,2,1,1,1
3700,7,2,1,1,1,1
3800,6,2,2,1,1,1
3900,6,2,1,1,1,1
4000,10,2,2,1,1,1
4100,7,2,2,1,1,2
4200,7,2,1,1,1,1
4300,7,2,1,1,1,1
4400,10,2,1,1,1,1
4500,7,2,2,1,1,2
4600,7,2,2,1,1,2
4700,7,2,2,1,1,2
4800,8,2,2,1,1,2
4900,8,2,2,1,1,2
5000,8,2,2,1,1,2
5100,8,2,2,1,1,2
5200,8,3,2,2,2,2
5300,8,3,2,2,2,2
5400,8,3,2,2,2,2
5500,8,3,2,2,2,2
5600,8,3,3,2,2,2
5700,9,3,3,2,2,2
5800,9,4,3,2,2,2
5900,9,4,3,2,2,2
6000,9,4,3,2,2,2
6100,9,4,3,2,2,3
6200,10,4,3,2,2,3
6300,10,4,3,2,2,3
6400,10,4,3,2,2,3
6500,10,4,3,2,2,2
6600,11,5,3,2,3,2
6700,11,4,3,2,2,2
6800,11,4,3,2,2,2
6900,11,4,3,2,2,2
7000,11,4,3,2,2,2
7100,11,5,3,2,2,2
7200,11,4,3,2,2,2
7300,11,4,3,2,2,2
7400,11,5,3,3,3,3
7500,12,5,3,2,3,3
7600,12,5,4,3,3,3
7700,12,5,3,3,3,3
7800,12,5,3,3,3,3
7900,12,5,3,3,3,3
8000,12,5,3,3,3,3
8100,13,5,3,3,3,3
8200,13,5,3,3,3,3
8300,13,5,3,3,3,3
8400,13,5,3,3,3,3
8500,13,5,3,3,3,3
8600,15,5,4,3,3,3
8700,14,5,3,3,3,3
8800,14,5,4,3,3,3
8900,14,5,4,3,3,3
9000,14,5,4,3,3,3
9100,14,5,5,3,3,4
9200,15,5,4,3,3,4
9300,15,5,4,3,3,4
9400,15,5,4,3,3,4
9500,15,5,4,3,3,4
9600,15,5,4,3,3,4
9700,15,5,4,3,3,4
9800,15,5,4,3,3,4
9900,19,5,4,4,4,4
10000,16,6,4,4,4,4
10100,16,6,4,4,4,4
10200,17,6,4,4,4,4
10300,16,6,4,4,4,4
10400,17,6,4,4,4,5
10500,17,6,5,4,4,5
10600,17,6,5,4,4,5
10700,17,6,5,4,4,5
10800,17,7,5,4,4,5
10900,17,7,5,4,4,5
11000,18,7,6,4,4,5
11100,17,7,6,4,4,5
11200,18,7,6,4,4,5
11300,18,7,6,4,4,5
11400,18,7,6,4,4,5
11500,18,8,6,5,4,5
11600,19,8,6,5,4,5
11700,19,8,6,5,4,6
11800,19,8,6,5,4,6
11900,19,8,6,5,4,6
12000,19,8,6,5,4,6
12100,19,9,6,5,4,6
12200,19,9,6,5,4,6
12300,19,9,6,5,5,6
12400,20,9,6,5,5,6
12500,20,9,6,5,5,6
12600,22,9,6,5,5,6
12700,20,9,6,5,5,6
12800,20,9,6,5,5,6
12900,20,9,6,5,5,6
13000,21,9,6,5,5,5
13100,21,10,7,5,5,5
13200,22,9,6,5,5,5
13300,21,9,6,5,5,5
13400,21,10,7,5,5,5
13500,22,9,7,5,5,5
13600,22,10,7,5,5,5
13700,22,10,7,5,5,5
13800,22,10,7,5,5,5
13900,22,10,7,5,5,5
14000,22,10,7,5,5,5
14100,23,10,7,5,5,5
14200,23,10,7,5,6,6
14300,23,10,7,5,6,6
14400,23,12,7,6,6,6
14500,23,10,7,6,6,6
14600,23,10,7,6,6,6
14700,24,10,7,6,6,6
14800,24,10,7,6,6,6
14900,24,10,7,6,6,6
15000,24,10,7,6,6,6
15100,24,10,7,6,6,6
15200,24,10,7,6,6,6
15300,24,10,7,6,6,6
15400,25,10,7,6,6,6
15500,26,10,7,6,6,6
15600,25,10,7,6,7,7
15700,29,10,8,6,6,6
15800,25,10,7,6,8,6
15900,26,10,7,6,6,7
16000,26,10,7,6,6,7
16100,26,10,8,6,6,7
16200,26,10,8,6,6,7
16300,27,11,8,6,6,7
16400,26,10,8,6,6,7
16500,26,11,8,6,6,7
16600,27,11,8,7,6,7
16700,27,11,8,6,6,7
16800,27,11,8,7,6,7
16900,27,11,8,7,7,7
17000,29,11,9,7,7,7
17100,27,11,8,7,7,7
17200,28,11,8,7,7,7
17300,28,11,8,7,7,7
17400,28,11,8,7,7,7
17500,28,11,8,7,7,8
17600,28,11,8,7,8,8
17700,28,11,8,7,7,8
17800,29,11,8,7,7,10
17900,29,11,8,7,7,8
18000,30,11,8,7,7,8
18100,29,11,8,7,7,8
18200,29,11,8,7,7,8
18300,34,11,8,7,7,8
18400,30,11,8,7,7,8
18500,30,12,8,7,7,8
18600,30,11,8,7,7,8
18700,30,11,8,7,7,8
18800,30,11,8,7,7,9
18900,30,11,9,7,7,9
19000,31,11,9,7,7,9
19100,31,12,9,8,8,9
19200,31,12,9,8,8,9
19300,31,12,9,8,8,9
19400,31,12,9,8,8,9
19500,31,12,9,8,8,9
19600,32,12,9,8,8,9
19700,32,12,9,8,8,9
19800,32,12,9,8,8,9
19900,32,12,9,8,8,9
20000,32,12,9,8,8,9
20100,32,12,9,8,8,9
20200,33,12,9,8,8,10
20300,33,12,9,8,8,10
20400,33,12,9,8,8,10
20500,33,12,9,8,8,10
20600,33,12,9,8,8,10
20700,33,12,9,8,8,10
20800,34,13,10,9,8,10
20900,34,13,10,9,8,10
21000,34,13,10,9,8,10
21100,34,13,10,9,8,10
21200,34,13,10,9,8,10
21300,35,13,11,9,9,10
21400,35,14,11,9,9,10
21500,35,14,11,9,9,10
21600,35,14,11,10,9,11
21700,35,14,11,10,9,11
21800,35,14,11,10,9,11
21900,35,14,12,10,9,11
22000,36,15,12,10,9,11
22100,36,15,12,10,9,11
22200,36,15,12,10,9,11
22300,36,15,12,10,9,11
22400,36,15,12,10,9,11
22500,36,15,13,10,9,11
22600,37,16,13,10,9,11
22700,37,16,13,10,9,11
22800,37,16,13,10,9,11
22900,37,16,13,10,9,12
23000,37,16,13,10,9,12
23100,37,17,13,10,9,12
23200,38,17,13,10,9,12
23300,38,17,13,10,10,12
23400,38,17,13,10,10,12
23500,38,17,13,10,10,12
23600,38,17,13,10,10,12
23700,38,18,13,10,10,12
23800,39,18,13,10,10,12
23900,39,18,13,10,10,12
24000,39,18,13,10,10,12
24100,39,18,13,10,10,13
24200,39,18,13,10,10,13
24300,39,19,13,10,10,13
24400,40,19,13,10,10,13
24500,40,19,13,11,10,13
24600,40,19,13,11,10,13
24700,40,19,13,11,10,13
24800,40,19,14,11,10,13
24900,40,19,14,11,10,13
25000,41,19,14,11,10,13
25100,41,19,14,11,10,13
25200,41,19,14,11,11,14
25300,41,19,14,11,11,14
25400,41,19,14,11,11,14
25500,41,20,14,11,11,14
25600,42,20,14,11,11,14
25700,42,20,14,11,11,13
25800,42,20,14,11,11,13
25900,42,20,14,11,11,12
26000,42,20,14,11,11,12
26100,43,20,14,11,11,11
26200,43,20,14,11,11,11
26300,43,20,14,11,11,11
26400,43,20,14,11,11,11
26500,43,20,14,11,11,11
26600,44,20,14,11,11,11
26700,44,20,14,12,11,11
26800,44,20,15,12,12,12
26900,44,20,14,12,11,12
27000,46,20,14,12,12,12
27100,44,20,14,12,12,12
27200,45,20,14,12,12,12
27300,44,20,14,12,12,12
27400,45,20,14,12,12,12
27500,45,20,15,12,12,12
27600,45,20,15,12,12,12
27700,45,20,15,12,12,12
27800,45,20,15,12,12,12
27900,45,20,15,12,12,12
28000,46,21,15,12,12,12
28100,46,20,15,12,12,12
28200,46,21,15,12,12,12
28300,46,21,15,12,12,12
28400,46,21,15,12,12,12
28500,47,21,15,12,13,12
28600,47,21,15,12,12,13
28700,47,21,15,12,13,13
28800,47,21,15,12,13,13
28900,47,21,15,12,13,13
29000,47,21,15,12,13,13
29100,48,21,15,12,13,13
29200,48,21,15,13,13,13
29300,48,21,15,13,13,13
29400,48,21,15,13,13,13
29500,48,21,15,13,13,13
29600,49,21,15,13,13,13
29700,49,21,15,13,13,15
29800,49,22,15,13,13,14
29900,49,22,15,13,13,13
30000,49,22,16,13,13,13
30100,49,21,16,13,13,13
30200,50,21,16,13,13,14
30300,50,21,16,13,14,14
30400,50,21,16,13,14,14
30500,50,21,16,13,14,14
30600,50,22,16,13,14,14
30700,50,21,16,13,14,14
30800,51,22,16,13,14,14
30900,51,27,16,13,14,14
31000,51,22,16,13,14,14
31100,51,22,16,13,14,14
31200,51,22,16,13,14,14
31300,51,22,16,13,14,14
31400,51,22,16,13,14,14
31500,52,22,16,13,14,14
31600,52,22,16,14,14,14
31700,52,22,16,14,14,14
31800,52,22,16,14,14,14
31900,52,22,16,14,14,14
32000,53,22,16,14,14,15
32100,53,22,16,14,14,15
32200,53,22,16,14,14,15
32300,53,22,16,14,14,15
32400,53,22,16,14,14,15
32500,53,22,16,14,14,15
